permno,ticker,permco,cusip,company,price_x,sheet_row,is_duplicate_row,weight_target,price_y,target_value,shares,value,weight_actual,weight
19285,CARR,57036,14448C10,CARRIER GLOBAL CORP,52.84,96,False,0.0026000477431135,52.84,22824.52513607157,431,22774.04,0.0022774040000000002,0.0022774040000000002
18542,CAT,20408,14912310,CATERPILLAR INC,572.87,97,False,0.0025208050627797,572.87,22128.893083191397,38,21769.06,0.002176906,0.002176906
79057,CB,29796,H1467J10,CHUBB LTD,312.12,98,False,0.002005588293494,312.12,17606.06148048967,56,17478.72,0.0017478720000000001,0.0017478720000000001
93429,CBOE,53447,12503M10,C B O E GLOBAL MARKETS INC,251.0,99,False,0.0014100536541418,251.0,12378.159269348525,49,12299.0,0.0012299,0.0012299
90199,CBRE,45270,12504L10,C B R E GROUP INC,160.79,100,False,0.0033438709450246,160.79,29354.178837154406,182,29263.78,0.002926378,0.002926378
86339,CCI,16268,22822V10,CROWN CASTLE INC,88.87,101,False,0.0015447050832631,88.87,13560.197151817096,152,13508.240000000002,0.0013508240000000003,0.0013508240000000003
75154,CCL,20394,14365830,CARNIVAL CORP,30.54,102,False,0.0013491821080037,30.54,11843.79826056302,387,11818.98,0.001181898,0.001181898
11403,CDNS,9245,12738710,CADENCE DESIGN SYSTEMS INC,312.58,103,False,0.0012327285859292,312.58,10821.510747261209,34,10627.72,0.001062772,0.001062772
13949,CDW,54426,12514G10,C D W CORP NEW,136.2,104,False,0.0020348618994081,136.2,17863.03989782047,131,17842.199999999997,0.0017842199999999998,0.0017842199999999998
22623,CEG,59113,21037T10,CONSTELLATION ENERGY CORP,353.27,105,False,0.0005426593132413,353.27,4763.736038388086,13,4592.51,0.00045925100000000004,0.00045925100000000004
90829,CF,47183,12526910,C F INDUSTRIES HOLDINGS INC,77.34,106,False,0.001257006926011,77.34,11034.638211911364,142,10982.28,0.0010982280000000001,0.0010982280000000001
14889,CFG,55006,17461010,CITIZENS FINANCIAL GROUP INC,58.41,107,False,0.0024356537224006,58.41,21381.391844415833,366,21378.059999999998,0.002137806,0.002137806
23393,CHD,1103,17134010,CHURCH & DWIGHT INC,83.85,108,False,0.001959935124125,83.85,17205.295027425895,205,17189.25,0.001718925,0.001718925
85459,CHRW,15758,12541W20,CH ROBINSON WORLDWIDE INC,160.76,109,False,0.0012701232115135,160.76,11149.779554579636,69,11092.439999999999,0.001109244,0.001109244
12308,CHTR,17322,16119P10,CHARTER COMMUNICATIONS INC NEW,208.75,110,False,0.0009141262083369,208.75,8024.659037507748,38,7932.5,0.00079325,0.00079325
64186,CI,20357,12552310,CIGNA GROUP,275.23,111,False,0.0007487181807011,275.23,6572.6242837303325,23,6330.290000000001,0.0006330290000000001,0.0006330290000000001
23473,CINF,912,17206210,CINCINNATI FINANCIAL CORP,163.32,112,False,0.0023149761583679,163.32,20322.023568998742,124,20251.68,0.002025168,0.002025168
